,state,customer lifetime value,education,gender,income,monthly premium auto,number of open complaints,policy type,total claim amount,vehicle class,sales channel,response
4526,California,2837.007353,College,F,41408,73,1.0,Corporate Auto,268.710908,Four-Door Car,Branch,No
4527,California,5004.263818,Master,F,39161,63,1.0,Personal Auto,283.995953,Two-Door Car,Call Center,No
4528,California,10408.96865,High School or Below,M,20228,101,,Corporate Auto,523.815839,SUV,Branch,Yes
4529,California,10455.48983,High School or Below,F,28363,133,0.0,Personal Auto,638.4,Sports Car,Agent,No
4530,California,4889.765364,Bachelor,F,46819,62,0.0,Personal Auto,157.990123,Four-Door Car,Agent,No
4531,Washington,21480.81781,Master,F,15505,68,0.0,Personal Auto,383.890867,Two-Door Car,Agent,No
4532,California,2494.869528,Doctor,M,45855,62,1.0,Personal Auto,0.887629,Four-Door Car,Web,No
4533,Nevada,18975.45611,High School or Below,M,65999,237,0.0,Corporate Auto,615.927769,Luxury SUV,Agent,No
4534,Washington,6005.214792,High School or Below,M,26876,76,0.0,Corporate Auto,364.8,Four-Door Car,Agent,Yes
4535,Nevada,9435.540893,Bachelor,F,0,129,0.0,Corporate Auto,628.366119,SUV,Call Center,No
4536,Oregon,2359.423599,Bachelor,F,19864,63,0.0,Personal Auto,352.394515,Four-Door Car,Web,Yes
4537,Nevada,8160.587729,College,F,24980,71,0.0,Personal Auto,511.2,Two-Door Car,Web,No
4538,California,3803.79853,High School or Below,M,26050,97,0.0,Personal Auto,465.6,Four-Door Car,Branch,No
4539,Washington,2711.899826,High School or Below,F,0,74,0.0,Personal Auto,355.2,Four-Door Car,Call Center,No
4540,California,4293.997319,Bachelor,M,16701,113,0.0,Personal Auto,831.625979,Four-Door Car,Branch,No
4541,Oregon,9027.867218,Bachelor,F,99002,112,1.0,Personal Auto,537.6,Four-Door Car,Branch,No
4542,Nevada,15777.88702,High School or Below,F,98713,65,0.0,Personal Auto,289.894293,Two-Door Car,Call Center,No
4543,Oregon,17857.97233,College,M,55437,64,1.0,Personal Auto,445.287788,Four-Door Car,Agent,No
4544,Nevada,9350.872287,High School or Below,M,0,275,1.0,Corporate Auto,1980.0,Luxury SUV,Agent,No
4545,Washington,2727.520769,Doctor,F,74592,67,0.0,Personal Auto,321.6,Two-Door Car,Agent,No
4546,Oregon,2756.941661,Bachelor,M,29926,74,0.0,Corporate Auto,418.233667,Four-Door Car,Branch,No
4547,,5062.37379,College,F,0,72,0.0,Personal Auto,345.6,Two-Door Car,Call Center,
4548,Oregon,3740.404374,High School or Below,M,0,104,1.0,Personal Auto,499.2,SUV,Agent,No
4549,Oregon,7057.888812,Bachelor,M,37840,90,0.0,Corporate Auto,432.0,,Agent,No
4550,Washington,2935.988346,High School or Below,F,73847,73,1.0,Personal Auto,350.4,Two-Door Car,Web,No
4551,California,2563.394054,College,F,10860,66,0.0,Personal Auto,316.8,Four-Door Car,Call Center,No
4552,California,6189.122455,Bachelor,M,0,90,0.0,Personal Auto,648.0,Two-Door Car,Call Center,No
4553,Oregon,8331.648336,Bachelor,F,0,119,0.0,Personal Auto,856.8,SUV,Branch,No
4554,Oregon,2515.259002,College,M,25558,63,0.0,Personal Auto,453.6,Four-Door Car,Branch,No
4555,Arizona,17556.99121,Master,F,36212,73,0.0,Personal Auto,119.033795,Two-Door Car,Agent,No
4556,,3690.698916,Bachelor,F,59016,92,0.0,Corporate Auto,441.6,Four-Door Car,Web,
4557,Arizona,2379.195759,Doctor,M,0,66,0.0,Personal Auto,90.989464,Four-Door Car,Call Center,No
4558,California,4455.518101,High School or Below,M,31196,62,4.0,Corporate Auto,342.796508,Two-Door Car,Web,No
4559,California,2460.167359,College,F,69241,61,0.0,Personal Auto,47.95916,Four-Door Car,Web,No
4560,,5971.313496,High School or Below,M,52018,78,3.0,Personal Auto,374.4,Four-Door Car,Agent,
4561,Arizona,8496.063681,Bachelor,M,24031,109,0.0,Personal Auto,523.2,Sports Car,Web,No
4562,California,6570.970605,Master,F,52951,167,1.0,Personal Auto,289.77269,SUV,Branch,No
4563,Oregon,3161.171297,College,M,0,92,0.0,Personal Auto,897.379535,Two-Door Car,Branch,No
4564,California,11232.9821,College,M,0,74,0.0,Personal Auto,355.2,Four-Door Car,Call Center,No
4565,California,3133.018242,Bachelor,F,0,91,1.0,Personal Auto,655.2,Four-Door Car,Call Center,No
4566,California,13736.1325,Master,F,16181,181,0.0,Personal Auto,1261.319869,SUV,Web,Yes
4567,California,2590.840183,High School or Below,F,0,67,0.0,Personal Auto,321.6,Four-Door Car,Call Center,No
4568,Washington,2321.88367,High School or Below,F,0,65,0.0,Personal Auto,468.0,Four-Door Car,Agent,No
4569,Oregon,18726.15325,High School or Below,F,0,185,2.0,Personal Auto,1543.932434,SUV,Agent,No
4570,Nevada,5107.163002,Bachelor,F,35625,65,1.0,Personal Auto,288.572108,Four-Door Car,Agent,Yes
4571,California,3964.527997,High School or Below,M,62638,100,0.0,Personal Auto,441.988868,SUV,Agent,No
4572,Oregon,8828.380695,Doctor,M,61246,110,0.0,Personal Auto,159.239518,Sports Car,Branch,No
4573,Arizona,3430.316936,High School or Below,M,54339,86,0.0,Personal Auto,10.478305,Four-Door Car,Agent,No
4574,California,8613.464001,Bachelor,F,37277,109,1.0,Personal Auto,417.72438,SUV,Agent,No
4575,California,4798.240889,Bachelor,F,77846,119,0.0,Personal Auto,342.471939,Sports Car,Agent,No
4576,Oregon,2771.045031,College,F,50071,71,0.0,Personal Auto,18.918935,Two-Door Car,Agent,Yes
4577,Nevada,5736.45893,Bachelor,F,96917,71,0.0,Personal Auto,373.047039,Two-Door Car,Agent,No
4578,California,8925.632207,High School or Below,M,23860,114,1.0,Personal Auto,547.2,SUV,Call Center,No
4579,Oregon,2009.772923,Bachelor,M,0,65,2.0,Personal Auto,312.0,Two-Door Car,Agent,No
4580,Oregon,4719.762191,Bachelor,M,37057,61,1.0,Personal Auto,47.53101,Four-Door Car,Agent,No
4581,Oregon,7255.577594,Doctor,F,39786,91,,Personal Auto,365.835977,,Web,No
4582,Oregon,24127.50402,Bachelor,M,14072,71,0.0,Special Auto,511.2,Four-Door Car,Agent,Yes
4583,Nevada,3872.222217,High School or Below,M,0,62,2.0,Corporate Auto,503.808329,Four-Door Car,Call Center,No
4584,Oregon,13869.92705,College,M,28432,118,0.0,Corporate Auto,612.300581,SUV,Branch,Yes
4585,Arizona,7258.634662,College,M,88082,61,1.0,Personal Auto,218.779614,,Branch,No
4586,Oregon,9775.816061,Bachelor,M,55632,123,,Personal Auto,478.609999,SUV,Agent,No
4587,California,4458.113369,Bachelor,M,17622,65,1.0,Personal Auto,312.0,Four-Door Car,Agent,Yes
4588,Nevada,4787.812897,College,M,45225,124,0.0,Corporate Auto,209.176923,Sports Car,Web,No
4589,California,2287.59692,High School or Below,M,0,63,0.0,Corporate Auto,679.368378,Two-Door Car,Agent,No
4590,Nevada,9031.214859,Master,F,0,122,0.0,Personal Auto,650.52179,Sports Car,Branch,Yes
4591,California,2683.470677,Bachelor,F,48269,69,3.0,Corporate Auto,282.151207,Four-Door Car,Web,No
4592,Oregon,5913.199024,Bachelor,M,0,91,0.0,Corporate Auto,436.8,Four-Door Car,Call Center,No
4593,Nevada,3141.333694,College,F,24019,79,,Personal Auto,47.22861,Four-Door Car,Branch,No
4594,Oregon,47155.62558,High School or Below,M,39891,133,0.0,Personal Auto,630.888663,SUV,Agent,No
4595,California,64618.75715,High School or Below,M,0,217,1.0,Personal Auto,1562.4,Luxury Car,Branch,No
4596,Oregon,7482.486135,Bachelor,F,48992,94,1.0,Personal Auto,426.072946,Four-Door Car,Agent,No
4597,California,5329.075482,Bachelor,F,43671,67,0.0,Corporate Auto,190.649902,Four-Door Car,Agent,No
4598,Nevada,5010.44933,High School or Below,M,10892,66,0.0,Personal Auto,316.8,Four-Door Car,Call Center,No
4599,Oregon,11981.98481,Master,F,21514,62,0.0,Personal Auto,257.248789,Two-Door Car,Agent,Yes
4600,Oregon,24442.29656,College,M,36261,68,0.0,Personal Auto,16.800832,Four-Door Car,Call Center,No
4601,Arizona,11986.59212,Master,F,87560,98,1.0,Personal Auto,470.4,,Web,No
4602,Arizona,27495.42188,High School or Below,F,37931,99,0.0,Personal Auto,475.2,Four-Door Car,Branch,No
4603,Oregon,5423.136755,Doctor,F,85018,68,3.0,Personal Auto,62.837764,Four-Door Car,Call Center,No
4604,Oregon,4015.34005,Bachelor,M,80055,100,0.0,Corporate Auto,121.945071,,Branch,No
4605,Arizona,3278.53188,Doctor,M,70247,83,1.0,Personal Auto,141.799422,Four-Door Car,Call Center,No
4606,California,4285.575678,College,M,47823,108,0.0,Personal Auto,518.4,Sports Car,Agent,No
4607,Arizona,6920.999642,Doctor,M,67534,87,2.0,Personal Auto,104.905661,Four-Door Car,Agent,No
4608,Arizona,15016.18511,Bachelor,F,70619,187,0.0,Personal Auto,293.948632,Luxury Car,Branch,No
4609,California,17292.93538,College,M,80028,86,0.0,Corporate Auto,114.02307,,Web,No
4610,California,7805.31287,College,F,21073,106,1.0,Corporate Auto,508.8,SUV,Agent,Yes
4611,Oregon,2337.35182,High School or Below,F,28806,61,0.0,Personal Auto,292.8,Four-Door Car,Call Center,No
4612,Oregon,5669.974517,Master,F,43416,70,0.0,Personal Auto,336.0,Four-Door Car,Branch,No
4613,Oregon,8520.145801,Bachelor,F,0,80,0.0,Personal Auto,69.142986,Four-Door Car,Agent,No
4614,Oregon,10083.48688,High School or Below,F,11828,90,0.0,Personal Auto,571.479602,Four-Door Car,Agent,Yes
4615,Oregon,13478.8,High School or Below,M,0,198,1.0,Corporate Auto,1425.6,Luxury SUV,Call Center,No
4616,Washington,3312.176781,High School or Below,F,27431,85,0.0,Personal Auto,457.783791,Four-Door Car,Agent,No
4617,California,8028.179882,Master,M,56482,199,0.0,Personal Auto,955.2,Luxury SUV,Call Center,No
4618,California,13110.54899,High School or Below,M,73597,114,5.0,Personal Auto,485.183645,SUV,Agent,No
4619,California,5659.139938,College,F,52389,72,,Personal Auto,345.6,Four-Door Car,Agent,No
4620,Nevada,5443.761524,High School or Below,F,41449,69,1.0,Personal Auto,331.2,Two-Door Car,Branch,No
4621,Arizona,3538.059456,College,F,0,67,5.0,Personal Auto,321.6,,Call Center,No
4622,California,36168.34106,High School or Below,M,74140,101,2.0,Personal Auto,484.8,SUV,Web,No
4623,Arizona,7777.201669,High School or Below,F,46182,65,0.0,Corporate Auto,2.574682,Two-Door Car,Branch,No
4624,Oregon,3498.634784,High School or Below,F,41711,90,0.0,Personal Auto,351.286604,Four-Door Car,Agent,No
4625,Oregon,9217.130629,College,F,73259,115,0.0,Personal Auto,673.34265,SUV,Web,No
4626,California,2520.028421,College,F,0,68,0.0,Personal Auto,326.4,Four-Door Car,Branch,No
4627,Nevada,3873.647046,College,M,28142,105,0.0,Personal Auto,701.708239,Sports Car,Agent,Yes
4628,Nevada,11130.11974,Bachelor,F,42928,93,0.0,Personal Auto,651.623195,Four-Door Car,Call Center,No
4629,California,4784.773547,High School or Below,M,0,72,0.0,Corporate Auto,779.629297,Four-Door Car,Web,No
4630,California,5790.462518,Bachelor,F,52443,73,1.0,Corporate Auto,350.4,Four-Door Car,Agent,No
4631,California,14435.67365,Master,M,60880,119,0.0,Personal Auto,109.906628,Two-Door Car,Agent,Yes
4632,Oregon,2289.618736,High School or Below,F,0,65,0.0,Personal Auto,468.0,Four-Door Car,Branch,No
4633,California,5066.827444,Master,F,40215,64,0.0,Personal Auto,98.480884,Four-Door Car,Branch,No
4634,Oregon,4611.2543,Master,M,0,61,0.0,Personal Auto,292.8,Four-Door Car,Web,No
4635,Oregon,8209.054963,Bachelor,F,77282,102,0.0,Corporate Auto,489.6,Four-Door Car,Agent,No
4636,Washington,5688.20499,Bachelor,F,44833,72,0.0,Personal Auto,345.6,Two-Door Car,Agent,No
4637,Washington,3575.04124,College,M,30244,92,0.0,Personal Auto,383.110633,Four-Door Car,Call Center,No
4638,Oregon,2004.350666,College,F,0,66,4.0,Personal Auto,316.8,Four-Door Car,Branch,Yes
4639,California,4807.846463,High School or Below,M,99874,119,0.0,Corporate Auto,307.639408,Sports Car,Call Center,No
4640,Oregon,5329.128301,Master,F,0,72,0.0,Personal Auto,345.6,Four-Door Car,Agent,No
4641,California,3980.421464,High School or Below,M,98333,99,1.0,Personal Auto,459.048775,Four-Door Car,Branch,No
4642,Arizona,4491.909095,College,M,0,63,0.0,Personal Auto,302.4,,Agent,No
4643,Oregon,13024.13012,Master,M,0,125,0.0,Personal Auto,900.0,SUV,Agent,Yes
4644,California,3515.831889,Doctor,F,15144,90,0.0,Personal Auto,372.652536,Four-Door Car,Agent,No
4645,Washington,5827.483965,High School or Below,M,45794,74,0.0,Personal Auto,449.63005,Four-Door Car,Agent,No
4646,California,29830.38714,High School or Below,F,0,102,0.0,Personal Auto,489.6,Sports Car,Agent,No
4647,Oregon,4407.769164,Bachelor,F,0,62,0.0,Personal Auto,114.097383,Four-Door Car,Branch,No
4648,Washington,2499.498786,High School or Below,M,28082,64,0.0,Personal Auto,578.499499,,Branch,No
4649,California,5862.803295,College,F,75121,73,0.0,Corporate Auto,171.226873,Two-Door Car,Call Center,No
4650,Oregon,7635.422232,High School or Below,M,0,110,0.0,Personal Auto,1138.687583,SUV,Branch,No
4651,Oregon,4698.88415,Master,F,80358,116,0.0,Personal Auto,443.637243,SUV,Agent,No
4652,California,5635.403677,Doctor,M,70837,73,4.0,Personal Auto,362.743231,Four-Door Car,Agent,No
4653,Arizona,6756.651404,Master,F,33288,86,2.0,Personal Auto,221.856184,Four-Door Car,Branch,No
4654,Oregon,7769.841954,Bachelor,M,74365,193,0.0,Corporate Auto,926.4,Luxury Car,Call Center,No
4655,California,2506.021971,High School or Below,F,61402,63,2.0,Special Auto,302.4,Four-Door Car,Agent,No
4656,California,7614.669735,Bachelor,M,16707,102,0.0,Special Auto,1106.913309,Four-Door Car,Web,No
4657,California,5081.741976,High School or Below,F,0,69,0.0,Personal Auto,93.697638,Two-Door Car,Branch,No
4658,California,5219.754045,College,F,48203,66,0.0,Personal Auto,413.238845,,Call Center,No
4659,Arizona,5994.424627,College,M,0,91,0.0,Personal Auto,655.2,Four-Door Car,Web,No
4660,Nevada,8516.751366,Bachelor,M,37573,112,3.0,Corporate Auto,537.6,SUV,Call Center,No
4661,Washington,2513.117202,Bachelor,M,22475,64,1.0,Personal Auto,307.2,Four-Door Car,Agent,No
4662,,5372.351967,Bachelor,M,70286,67,0.0,Corporate Auto,130.143497,Four-Door Car,Web,
4663,California,10387.24599,High School or Below,M,24392,93,0.0,Personal Auto,446.4,Four-Door Car,Agent,No
4664,California,8405.752991,High School or Below,M,85355,71,2.0,Personal Auto,458.568921,Two-Door Car,Call Center,No
4665,California,6480.099944,Bachelor,M,18820,95,4.0,Personal Auto,456.0,Two-Door Car,Branch,No
4666,Arizona,14376.55039,College,M,70341,179,0.0,Personal Auto,253.511935,SUV,Branch,No
4667,Washington,2487.729726,College,F,67282,62,0.0,Personal Auto,297.6,Two-Door Car,Web,No
4668,Arizona,10053.55227,College,M,16511,135,0.0,Personal Auto,972.0,SUV,Agent,No
4669,California,6383.611136,College,F,0,196,2.0,Personal Auto,2327.166394,Luxury SUV,Call Center,No
4670,Arizona,5216.914471,High School or Below,M,60861,66,0.0,Personal Auto,65.425125,Four-Door Car,Agent,No
4671,Arizona,9816.528302,College,M,37256,62,0.0,Personal Auto,128.969729,Four-Door Car,Branch,Yes
4672,Oregon,13976.51925,College,M,77094,176,0.0,Personal Auto,444.470676,SUV,Call Center,No
4673,California,4045.341004,High School or Below,F,77237,102,0.0,Personal Auto,197.040115,Four-Door Car,Call Center,No
4674,California,5032.165498,College,M,66367,64,0.0,Personal Auto,307.2,Two-Door Car,Call Center,No
4675,Oregon,10677.25385,College,F,45732,134,0.0,Corporate Auto,611.918994,SUV,Call Center,No
4676,California,3123.080994,Bachelor,M,0,101,4.0,Personal Auto,960.115399,SUV,Agent,Yes
4677,Nevada,5619.967791,College,F,0,82,0.0,Corporate Auto,863.935307,Four-Door Car,Agent,No
4678,Washington,2582.862313,High School or Below,F,50148,65,0.0,Corporate Auto,323.485239,Four-Door Car,Web,No
4679,California,5363.528173,High School or Below,F,64604,67,1.0,Personal Auto,272.445607,Four-Door Car,Web,No
4680,Oregon,3964.81296,Bachelor,M,88410,99,0.0,Corporate Auto,475.2,Four-Door Car,Call Center,No
4681,California,7505.768149,Bachelor,F,44485,62,0.0,Special Auto,79.893853,Four-Door Car,Agent,No
4682,,2404.380963,High School or Below,M,62488,62,2.0,Personal Auto,200.689331,Four-Door Car,Call Center,
4683,Oregon,4931.503095,College,M,33580,62,0.0,Corporate Auto,315.326222,Four-Door Car,Agent,No
4684,Washington,4821.156466,Bachelor,M,85756,61,0.0,Personal Auto,117.036869,Four-Door Car,Branch,No
4685,California,5207.985921,College,F,81839,65,1.0,Personal Auto,74.666163,Four-Door Car,Agent,No
4686,Arizona,4944.240345,Master,M,40463,61,0.0,Personal Auto,292.8,Four-Door Car,Branch,No
4687,Oregon,4991.535369,College,F,93416,62,0.0,Personal Auto,246.249051,Two-Door Car,Call Center,No
4688,Washington,8819.018934,High School or Below,M,99845,110,1.0,Personal Auto,528.0,SUV,Branch,Yes
4689,Nevada,10901.22525,Bachelor,M,72257,90,0.0,Personal Auto,408.415481,Four-Door Car,Branch,No
4690,,5352.18703,High School or Below,F,97742,132,0.0,Corporate Auto,199.590599,SUV,Branch,
4691,Arizona,7148.331333,Bachelor,F,51791,181,1.0,Personal Auto,422.960234,Luxury Car,Call Center,No
4692,California,6282.082435,Bachelor,F,32311,79,0.0,Corporate Auto,207.289724,Four-Door Car,Agent,No
4693,California,2267.604038,Doctor,M,0,61,,Personal Auto,292.8,Four-Door Car,Call Center,No
4694,Nevada,2549.450038,Bachelor,M,0,78,0.0,Corporate Auto,845.654042,Four-Door Car,Web,No
4695,Oregon,4654.954187,High School or Below,F,0,69,4.0,Corporate Auto,331.2,Four-Door Car,Agent,No
4696,California,4376.363592,Bachelor,F,63774,111,0.0,Corporate Auto,60.036683,Four-Door Car,Agent,Yes
4697,California,25464.82059,College,F,13663,97,0.0,Personal Auto,465.6,Four-Door Car,Branch,Yes
4698,California,15445.66166,Master,M,26990,65,,Personal Auto,297.864823,Four-Door Car,Agent,No
4699,Nevada,4730.355248,Doctor,M,17250,62,0.0,Personal Auto,175.528642,Four-Door Car,Call Center,No
4700,California,7892.088107,High School or Below,F,28672,71,0.0,Personal Auto,340.8,Four-Door Car,Branch,No
4701,Oregon,27789.69235,Bachelor,F,33806,89,0.0,Corporate Auto,395.729716,Four-Door Car,Web,Yes
4702,California,3933.813993,High School or Below,M,25927,103,0.0,Personal Auto,674.973614,SUV,Web,Yes
4703,Nevada,4669.22664,High School or Below,F,76157,116,0.0,Personal Auto,556.8,Two-Door Car,Call Center,Yes
4704,California,16979.79757,Bachelor,M,35095,73,,Personal Auto,525.6,Two-Door Car,Call Center,Yes
4705,Oregon,4932.916345,Bachelor,F,37260,62,,Corporate Auto,15.437681,Four-Door Car,Web,No
4706,Oregon,26243.85811,Bachelor,M,55705,113,0.0,Personal Auto,149.90747,SUV,Branch,No
4707,Arizona,2879.63179,Bachelor,F,40525,73,0.0,Personal Auto,123.790553,Four-Door Car,Branch,No
4708,California,15234.7459,High School or Below,M,72988,127,0.0,Personal Auto,276.503559,SUV,Call Center,No
4709,Arizona,2506.360995,College,M,0,73,0.0,Personal Auto,525.6,Four-Door Car,Web,No
4710,Oregon,7398.873941,Bachelor,M,27383,188,0.0,Corporate Auto,902.4,Luxury Car,Branch,No
4711,Arizona,5604.330774,Master,M,20252,71,0.0,Personal Auto,198.227061,Four-Door Car,Call Center,No
4712,Arizona,10484.91535,College,F,61108,89,0.0,Personal Auto,49.451117,Four-Door Car,Agent,Yes
4713,Arizona,8232.760182,Bachelor,M,56021,69,0.0,Personal Auto,279.51121,Four-Door Car,Agent,No
4714,,5570.17755,College,F,22679,72,0.0,Personal Auto,345.6,Two-Door Car,Branch,
4715,Washington,2755.221411,High School or Below,F,39393,70,1.0,Special Auto,405.883346,Four-Door Car,Agent,No
4716,California,22217.96796,College,F,37553,187,0.0,Personal Auto,897.6,Luxury Car,Agent,No
4717,California,10660.89661,Bachelor,F,60642,133,0.0,Personal Auto,428.27511,SUV,Agent,No
4718,California,10628.06415,Bachelor,M,90874,137,4.0,Personal Auto,459.785009,SUV,Call Center,No
4719,California,7780.999262,Bachelor,M,0,74,0.0,Personal Auto,246.489123,Four-Door Car,Branch,No
4720,California,2243.473907,High School or Below,F,0,62,0.0,Personal Auto,675.468453,Two-Door Car,Branch,No
4721,Oregon,5205.90965,College,F,0,72,0.0,Personal Auto,345.6,Two-Door Car,Branch,No
4722,Arizona,7494.087341,Bachelor,F,0,68,,Personal Auto,326.4,,Call Center,No
4723,Oregon,23515.85325,Doctor,F,36537,85,0.0,Personal Auto,165.309001,Four-Door Car,Web,No
4724,California,5923.518828,Bachelor,M,73758,74,0.0,Personal Auto,301.562622,Four-Door Car,Branch,No
4725,California,5780.182197,High School or Below,M,51066,74,0.0,Personal Auto,787.993313,Four-Door Car,Call Center,Yes
4726,Nevada,2727.082424,Bachelor,F,29286,69,1.0,Personal Auto,496.8,Four-Door Car,Call Center,No
4727,,10382.50368,High School or Below,M,11721,102,2.0,Personal Auto,560.91624,SUV,Agent,
4728,California,10357.51422,College,M,68309,131,0.0,Corporate Auto,306.983596,SUV,Web,No
4729,California,22895.34606,Bachelor,F,0,94,0.0,Corporate Auto,676.8,Four-Door Car,Agent,No
4730,Oregon,4128.091334,College,F,32114,104,0.0,Corporate Auto,445.29049,SUV,Agent,No
4731,Oregon,2548.393565,College,F,22050,66,,Personal Auto,316.8,Four-Door Car,Call Center,No
4732,Arizona,5365.975978,Bachelor,M,51240,70,2.0,Personal Auto,283.849464,Four-Door Car,Branch,No
4733,California,3979.718986,Bachelor,F,96413,99,0.0,Personal Auto,560.045764,,Web,No
4734,Arizona,13309.33517,College,M,0,127,0.0,Personal Auto,609.6,SUV,Call Center,No
4735,Oregon,6966.142868,Master,F,0,93,0.0,Personal Auto,436.143226,Four-Door Car,Branch,No
4736,California,3832.898507,College,M,97729,95,0.0,Personal Auto,97.176153,Four-Door Car,Web,No
4737,California,3843.965188,Bachelor,M,43987,96,0.0,Personal Auto,460.8,Four-Door Car,Call Center,No
4738,California,8300.70769,College,F,17034,113,0.0,Personal Auto,542.4,Sports Car,Agent,No
4739,California,4837.926404,High School or Below,F,0,65,0.0,Personal Auto,468.0,Four-Door Car,Web,No
4740,Oregon,2730.3538,College,F,63401,68,0.0,Personal Auto,202.938048,Four-Door Car,Agent,No
4741,Oregon,2866.779811,High School or Below,M,81763,72,1.0,Personal Auto,518.4,Two-Door Car,Branch,No
4742,,19237.69976,Bachelor,M,0,196,0.0,Corporate Auto,2092.523421,Luxury Car,Call Center,
4743,Arizona,4783.917752,Bachelor,M,49793,121,0.0,Personal Auto,640.835113,SUV,Agent,No
4744,Washington,4067.004737,High School or Below,F,28466,102,0.0,Personal Auto,371.802628,,Agent,No
4745,Oregon,8237.376444,College,M,70882,69,0.0,Personal Auto,124.380223,Four-Door Car,Agent,No
4746,Washington,7095.134789,High School or Below,F,74298,177,0.0,Corporate Auto,161.537767,Sports Car,Call Center,No
4747,California,4903.131185,College,F,0,133,0.0,Personal Auto,638.4,SUV,Branch,No
4748,Nevada,2771.045031,College,F,50071,71,0.0,Personal Auto,18.918935,Two-Door Car,Agent,Yes
4749,California,7057.463184,High School or Below,M,52447,90,0.0,Personal Auto,61.585668,Four-Door Car,Agent,No
4750,Nevada,14837.50253,High School or Below,M,0,70,0.0,Corporate Auto,712.619939,Four-Door Car,Agent,No
4751,Arizona,2426.95904,Bachelor,M,0,71,0.0,Corporate Auto,511.2,Four-Door Car,Branch,No
4752,Oregon,7858.109763,High School or Below,F,28937,104,2.0,Personal Auto,117.959654,SUV,Call Center,No
4753,Oregon,2918.576189,College,M,80714,72,0.0,Personal Auto,345.6,Four-Door Car,Web,No
4754,,2269.841123,College,M,0,68,0.0,Personal Auto,542.016902,Four-Door Car,Agent,
4755,California,2803.796963,College,F,43775,70,0.0,Personal Auto,310.744656,Four-Door Car,Call Center,No
4756,California,7522.068229,High School or Below,F,47727,94,0.0,Corporate Auto,451.2,Two-Door Car,Call Center,No
4757,,4305.793209,Bachelor,F,31071,111,2.0,Personal Auto,215.23091,Sports Car,Call Center,
4758,California,2345.084479,College,M,0,69,0.0,Personal Auto,331.2,Four-Door Car,Agent,No
4759,California,11702.34819,Bachelor,M,0,111,0.0,Personal Auto,532.8,SUV,Call Center,No
4760,Oregon,23675.02939,Bachelor,F,46268,199,1.0,Personal Auto,842.000858,Sports Car,Agent,No
4761,Oregon,2566.398498,High School or Below,M,67778,64,1.0,Personal Auto,171.287759,Four-Door Car,Agent,No
4762,Arizona,8609.158215,Bachelor,F,79090,107,0.0,Personal Auto,289.040734,SUV,Branch,Yes
4763,Oregon,13989.84697,College,M,22354,118,0.0,Personal Auto,775.526054,SUV,Call Center,No
4764,Oregon,7347.410517,College,F,29491,61,0.0,Personal Auto,292.8,Four-Door Car,Web,No
4765,California,5106.111827,College,F,30110,64,0.0,Personal Auto,140.165035,Four-Door Car,Web,No
4766,California,5526.438887,Bachelor,F,94230,137,0.0,Special Auto,657.6,SUV,Agent,No
4767,Arizona,2926.829158,High School or Below,M,26242,74,0.0,Personal Auto,347.060173,Four-Door Car,Branch,No
4768,California,11513.35549,College,M,16266,100,0.0,Special Auto,1177.323534,SUV,Web,No
4769,Oregon,5328.320299,High School or Below,F,0,73,0.0,Personal Auto,794.445585,Four-Door Car,Branch,No
4770,Oregon,7688.023506,Bachelor,F,56680,100,2.0,Personal Auto,480.0,SUV,Branch,No
4771,,5380.091626,Master,M,0,74,0.0,Personal Auto,59.026302,Four-Door Car,Web,
4772,Oregon,2535.266473,Bachelor,M,86933,63,0.0,Corporate Auto,269.563038,Two-Door Car,Agent,No
4773,Arizona,2167.330201,Bachelor,F,0,61,0.0,Personal Auto,439.2,Four-Door Car,Agent,No
4774,Arizona,7388.733207,College,F,0,97,0.0,Personal Auto,638.371157,Four-Door Car,Call Center,No
4775,California,4479.023088,Master,M,94656,111,1.0,Special Auto,459.738128,SUV,Web,No
4776,Oregon,24127.50402,Bachelor,M,14072,71,0.0,Corporate Auto,511.2,Four-Door Car,Agent,Yes
4777,Washington,42462.96794,Bachelor,F,0,281,1.0,Personal Auto,1499.806352,Luxury SUV,Branch,No
4778,Oregon,4936.888359,College,F,0,72,2.0,Personal Auto,391.636628,Two-Door Car,Agent,No
4779,Washington,44468.02303,High School or Below,F,32948,127,1.0,Personal Auto,1428.972913,SUV,Call Center,No
4780,Oregon,4991.584471,Bachelor,F,56649,125,0.0,Special Auto,780.090361,SUV,Branch,No
4781,Oregon,3746.751625,College,F,41479,94,1.0,Personal Auto,19.575683,Two-Door Car,Call Center,Yes
4782,Arizona,4582.899414,Bachelor,F,66991,115,0.0,Personal Auto,399.617715,SUV,Branch,No
4783,California,2810.464447,Bachelor,M,26790,71,0.0,Personal Auto,340.8,Two-Door Car,Agent,Yes
4784,Oregon,4944.088762,High School or Below,F,53607,61,0.0,Personal Auto,93.891207,Four-Door Car,Web,No
4785,California,16468.22079,High School or Below,F,0,63,0.0,Personal Auto,685.12694,Four-Door Car,Agent,Yes
4786,Oregon,8223.164916,Bachelor,M,95102,101,0.0,Corporate Auto,94.338814,Four-Door Car,Web,No
4787,California,8902.737595,Bachelor,M,46833,112,0.0,Personal Auto,64.109663,Sports Car,Call Center,No
4788,Arizona,27789.69235,Bachelor,F,33806,89,0.0,Personal Auto,395.729716,Four-Door Car,Web,Yes
